FID,FLU,FLUDESC,FLUSHRTDEC,SHAPE_STAr,SHAPE_STLe,Shape__Area,Shape__Length
459,7,Medium Density Restricted Commercial,Med D. Rest Com,584204.198883,5070.20699016,67276.626953125,1723.16411931312
460,6,Low Density Restricted Commercial,Low D. Rest Com,86985.9095459,1810.76915833,10015.3828125,613.16895956662
461,3,Low Density Multifamily Residential,Low D. MF Res,450159.40509,3996.98676944,51829.685546875,1354.00230220413
462,6,Low Density Restricted Commercial,Low D. Rest Com,125291.566101,2211.11774581,14422.71484375,748.666689760146
463,6,Low Density Restricted Commercial,Low D. Rest Com,875895.151825,7177.93692302,100838.626953125,2441.10510940367
464,7,Medium Density Restricted Commercial,Med D. Rest Com,33595.2137451,781.321493054,3867.708984375,265.319990775623
465,8,Restricted Commercial,Restricted Com.,1241501.42331,10589.6430328,142901.318359375,3591.02694635
466,6,Low Density Restricted Commercial,Low D. Rest Com,25287.6652222,636.143337053,2908.01171875,215.666071870869
467,6,Low Density Restricted Commercial,Low D. Rest Com,43769.2029419,908.371724148,5033.642578125,308.377033299268
468,7,Medium Density Restricted Commercial,Med D. Rest Com,219095.811951,2024.28583747,25196.58203125,687.013076662026
469,7,Medium Density Restricted Commercial,Med D. Rest Com,70854.569397,1149.42559343,8149.568359375,390.228510939534
470,6,Low Density Restricted Commercial,Low D. Rest Com,62937.9044189,1108.13684365,7238.921875,375.800261458477
471,7,Medium Density Restricted Commercial,Med D. Rest Com,286667.325684,3382.6318342,32965.5,1145.72535647123
472,7,Medium Density Restricted Commercial,Med D. Rest Com,119042.797333,1412.99487996,13687.083984375,479.061498891652
473,12,Light Industrial,Light Industria,326869.877136,2760.1245609,37581.705078125,935.105526184356
474,12,Light Industrial,Light Industria,244853.160034,2939.61221307,28152.859375,995.308571250954
475,8,Restricted Commercial,Restricted Com.,82053.1674805,1164.17968555,9435.794921875,394.817085398876
476,8,Restricted Commercial,Restricted Com.,186684.131653,2110.61449585,21467.85546875,714.756292423456
477,14,Public Parks and Recreation,Recreation,267203.583832,2177.28131094,30725.66796875,738.370168486527
478,8,Restricted Commercial,Restricted Com.,179028.731567,2153.19216565,20581.482421875,730.217991413658
